KldbCode,code,Classification 2 PrefLabel
B 94593-102,2654.1.7,Technischer Leiter/Technische Leiterin - Bühne/Film/Fernsehen
B 94593-116,2654.1.7,Technischer Direktor/Technische Direktorin
B 51233-100,3155.1,Flugsicherungstechniker/Flugsicherungstechnikerin
B 81212-146,3212.2,Medizinischer Technologe/Medizinische Technologin für Laboratoriumsanalytik
B 81212-103,3212.2,Medizinisch-technischer Laboratoriumsassistent/Medizinisch-technische Laboratoriumsassistentin
B 81212-100,3212.2,Staatlich geprüfter Medizin Laborant/Staatlich geprüfte Medizin Laborantin
B 41432-111,3116.1.1,Baustoffprüfer/Baustoffprüferin Schwerpunkt Asphalttechnik
B 81713-104,2264.2,Physiotherapeut/Physiotherapeutin
B 31214-110,2165.4.2,Ingenieur/Ingenieurin für Markscheidewesen
B 52132-105,8331.1,Busfahrer/Busfahrerin
B 29393-118,3434.1.1,Küchenchef/Küchenchefin
B 72133-112,3315.3,Versicherungsprüfer/Versicherungsprüferin
B 28213-107,1223.2.1.1,Staatlich geprüfter Produktentwickler/Staatlich geprüfte Produktentwicklerin (Mode)
B 28122-238,7318.6,Textilgestalter/Textilgestalterin im Handwerk Fachrichtung Weben
B 28122-106,7318.6,Weber/Weberin
B 33112-101,7122.4,"Ausbaufacharbeiter/Ausbaufacharbeiterin Schwerpunkt Fliesen-, Platten- und Mosaikarbeiten"
B 33112-100,7122.4,"Fliesen-, Platten- und Mosaikleger/Fliesen-, Platten- und Mosaiklegerin"
B 11232-100,6123.1,Tierwirt/Tierwirtin Fachrichtung Imkerei
B 11232-101,6123.1,Imker/Imkerin
B 63294-108,1411.3,Rooms-Division-Manager/Rooms-Division-Managerin
B 93422-107,7316.1.1,Kerammaler/Kerammalerin
B 93422-101,7316.1.1,Keramiker/Keramikerin Fachrichtung Dekoration
B 93422-102,7316.1.1,Glas- und Kerammaler/Glas- und Kerammalerin Fachrichtung Kerammalerei
B 93422-125,7316.1.1,Industriekeramiker/Industriekeramikerin Dekorationstechnik
B 84114-104,2341.1,Lehrer/Lehrerin an Grundschulen
B 73222-102,3344.1,Arztsekretär/Arztsekretärin
B 73222-105,3344.1,Sekretär/Sekretärin im Gesundheitswesen
B 25243-100,3115.1.7,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Schiffbautechnik
B 26312-206,7422.7,Fernmeldeelektroniker/Fernmeldeelektronikerin
B 26312-112,7422.7,Fernmeldeanlagenelektroniker/Fernmeldeanlagenelektronikerin
B 26312-104,7422.7,Kommunikationselektroniker/Kommunikationselektronikerin Fachrichtung Telekommunikationstechnik
B 62182-102,5242.1,Promoter/Promoterin
B 84214-112,2320.1.17,Lehrer/Lehrerin an Fachschulen für die Seefahrt
B 32122-113,7112.1,Hochbaufacharbeiter/Hochbaufacharbeiterin Schwerpunkt Maurerarbeiten
B 32122-100,7112.1,Maurer/Maurerin
B 29232-111,7511.4,Fleischzerleger/Fleischzerlegerin
B 91384-103,2632.4,Kriminologe/Kriminologin
B 24113-105,3117.3,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Hüttentechnik
B 28133-100,8151.3,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Textiltechnik Schwerpunkt Spinnereitechnik
B 71523-100,2423.6,Recruiter
B 41184-104,2120.1,Aktuar/Aktuarin
B 94184-100,2653.1.2,Ballettrepetitor/Ballettrepititorin
B 28333-100,2163.1.3.2,Schuhmodelleur/Schuhmodelleurin
B 73294-104,1112.6,Dienststellenleiter/Dienststellenleiterin
B 72144-101,2413.1.4,Wertpapieranalyst/Wertpapieranalystin
B 94224-103,2653.2,Bühnentänzer/Bühnentänzerin
